GR,F1,AGE,Count
Женщины,J40-J44,30-34,1
Женщины,J40-J44,35-39,
Женщины,J40-J44,40-44,1
Женщины,J40-J44,45-49,2
Женщины,J40-J44,50-54,4
Женщины,J40-J44,55-59,11
Женщины,J40-J44,60-64,19
Женщины,J40-J44,65-69,32
Женщины,J40-J44,70-74,40
Женщины,"J12, J15, J16- J18",Всего,115
Женщины,"J12, J15, J16- J18",0-4,16
Женщины,"J12, J15, J16- J18",5-9,1
Женщины,"J12, J15, J16- J18",10-14,
Женщины,"J12, J15, J16- J18",15-19,1
Женщины,"J12, J15, J16- J18",20-24,1
Женщины,"J12, J15, J16- J18",25-29,
Женщины,"J12, J15, J16- J18",30-34,4
Женщины,"J12, J15, J16- J18",35-39,5
Женщины,"J12, J15, J16- J18",40-44,5
Женщины,"J12, J15, J16- J18",45-49,4
Женщины,"J12, J15, J16- J18",50-54,3
Женщины,"J12, J15, J16- J18",55-59,8
Женщины,"J12, J15, J16- J18",60-64,11
Женщины,"J12, J15, J16- J18",65-69,24
Женщины,"J12, J15, J16- J18",70-74,32
Женщины,"E24.4, F10, G31.2, G62.1, G72.1, I42.6, K29.2, K70",0-4,
Женщины,"K73, K74.0-K74.2, K74.6",Всего,108
Женщины,"K73, K74.0-K74.2, K74.6",0-4,
Женщины,"K73, K74.0-K74.2, K74.6",5-9,
Женщины,"K73, K74.0-K74.2, K74.6",10-14,1
Женщины,"K73, K74.0-K74.2, K74.6",15-19,
Женщины,"K73, K74.0-K74.2, K74.6",20-24,
Женщины,"K73, K74.0-K74.2, K74.6",25-29,1
Женщины,"K73, K74.0-K74.2, K74.6",30-34,1
Женщины,"K73, K74.0-K74.2, K74.6",35-39,6
Женщины,"K73, K74.0-K74.2, K74.6",40-44,16
Женщины,"K73, K74.0-K74.2, K74.6",45-49,17
Женщины,"K73, K74.0-K74.2, K74.6",50-54,18
Женщины,"K73, K74.0-K74.2, K74.6",55-59,10
Женщины,"K73, K74.0-K74.2, K74.6",60-64,14
Женщины,"K73, K74.0-K74.2, K74.6",65-69,11
Женщины,"K73, K74.0-K74.2, K74.6",70-74,13
Женщины,All,Всего,2137
Женщины,All,0-4,99
Женщины,All,5-9,4
Женщины,All,10-14,4
Женщины,All,15-19,6
Женщины,All,20-24,6
Женщины,All,25-29,12
Женщины,All,30-34,34
Женщины,All,35-39,45
Женщины,All,40-44,100
Женщины,All,45-49,134
Женщины,All,50-54,166
Женщины,All,55-59,182
Женщины,All,60-64,325
Женщины,All,65-69,445
Женщины,All,70-74,575
