GR,МКБ-10,Всего,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74
Женщины,D10-D36,8,,,,,,,3,,,1,1,1,,2,
Женщины,D50-D53,0,,,,,,,,,,,,,,,
Женщины,E10-E14,176,,,,1,,,,1,1,4,6,12,34,53,64
Женщины,E00-E07,1,,,,,,1,,,,,,,,,
Женщины,"E24-E25 (except E24.4), E27",1,,,,,,,,,,,,1,,,
Женщины,"G40,G41",11,1,,,,1,2,1,,1,3,,1,,1,
Женщины,I71,9,,,,,,,1,,3,1,,1,1,,2
Женщины,"I10-I13, I15",80,,,,,,1,1,,4,6,6,11,13,11,27
Женщины,I20-I25,411,,,,,,,1,2,10,22,34,29,67,90,156
Женщины,I60-I69,318,6,,,,,,1,7,14,19,20,30,57,79,85
Женщины,"I70, I73.9",5,,,,,,,,,,,,,1,2,2
Женщины,I00-I09,6,,,,,,,,,,1,,1,1,3,
Женщины,"I26, I80, I82.9",24,1,,,,1,1,,,2,3,2,,3,5,6
Женщины,J09-J11,13,,1,,,,,,1,1,1,2,,1,3,3
Женщины,J13-J14,1,,,,1,,,,,,,,,,,
Женщины,J40-J44,110,,,,,,,1,,1,2,4,11,19,32,40
Женщины,"J60-J64, J66-J70, J82, J92",1,1,,,,,,,,,,,,,,
Женщины,"J00-J06, J30-J39",3,1,1,,,,,,,,,,,1,,
Женщины,"J12, J15, J16- J18",115,16,1,,1,1,,4,5,5,4,3,8,11,24,32
Женщины,J20-J22,0,,,,,,,,,,,,,,,
Женщины,J45-J47,3,,,,,,,1,,,,1,1,,,
Женщины,J80,0,,,,,,,,,,,,,,,
Женщины,J81,2,,,,,,,,,,,,1,,,1
Женщины,"J85, J86",0,,,,,,,,,,,,,,,
Женщины,"J90, J93, J94",0,,,,,,,,,,,,,,,
Женщины,K25-K28,21,,,,,,,,,1,,5,1,2,2,10
Женщины,K35-K38,0,,,,,,,,,,,,,,,
Женщины,K40-K46,0,,,,,,,,,,,,,,,
Женщины,K80-K81,1,,,,,,,,,,,,,,1,
Женщины,K82-K83,0,,,,,,,,,,,,,,,
Женщины,"K85.0,1,3,8,9",9,,,,,,,1,,2,1,,2,3,,
Женщины,"K86.1,2,3,8,9",4,,,,,,,,,,1,,1,1,,1
Женщины,N00-N07,2,1,,,,,,,,1,,,,,,
Женщины,"N13,N20-N21, N35",7,,,,,,,,,,,,1,1,2,3
Женщины,N17-N19,81,2,,,,,,1,3,3,2,7,5,9,23,26
Женщины,N23,0,,,,,,,,,,,,,,,
Женщины,N25,0,,,,,,,,,,,,,,,
Женщины,N26-N27,0,,,,,,,,,,,,,,,
